Datetime,Water Level (m)
2022-12-23 06:00:00,0.28392112
2022-12-23 07:00:00,0.64936477
2022-12-23 08:00:00,0.8694184
2022-12-23 09:00:00,0.7957424
2022-12-23 10:00:00,0.45657545
2022-12-23 11:00:00,-0.0043549184
2022-12-23 12:00:00,-0.5566925
2022-12-23 13:00:00,-1.0762705
2022-12-23 14:00:00,-1.4358644
2022-12-23 15:00:00,-1.144613
2022-12-23 16:00:00,-0.5057722
2022-12-23 17:00:00,0.117815875
2022-12-23 18:00:00,0.68086165
2022-12-23 19:00:00,1.1468422
2022-12-23 20:00:00,1.4752645
2022-12-23 21:00:00,1.494398
2022-12-23 22:00:00,1.1866313
2022-12-23 23:00:00,0.6800331
2022-12-24 00:00:00,0.11597713
2022-12-24 01:00:00,-0.4511051
2022-12-24 02:00:00,-1.0360936
2022-12-24 03:00:00,-1.4082296
2022-12-24 04:00:00,-1.0353047
2022-12-24 05:00:00,-0.4735953
2022-12-24 06:00:00,0.051368758
2022-12-24 07:00:00,0.48251173
2022-12-24 08:00:00,0.8653745
2022-12-24 09:00:00,1.0169241
2022-12-24 10:00:00,0.84285223
2022-12-24 11:00:00,0.43643746
2022-12-24 12:00:00,-0.073289104
2022-12-24 13:00:00,-0.6318842
2022-12-24 14:00:00,-1.1634278
2022-12-24 15:00:00,-1.4715091
2022-12-24 16:00:00,-0.9937181
2022-12-24 17:00:00,-0.36661035
2022-12-24 18:00:00,0.27039415
2022-12-24 19:00:00,0.83210844
2022-12-24 20:00:00,1.3015274
2022-12-24 21:00:00,1.5950959
2022-12-24 22:00:00,1.536257
2022-12-24 23:00:00,1.170417
2022-12-25 00:00:00,0.61520046
2022-12-25 01:00:00,0.037791856
2022-12-25 02:00:00,-0.5508145
2022-12-25 03:00:00,-1.0899469
2022-12-25 04:00:00,-1.3750147
2022-12-25 05:00:00,-0.8683758
2022-12-25 06:00:00,-0.3202689
2022-12-25 07:00:00,0.20001322
2022-12-25 08:00:00,0.58578503
2022-12-25 09:00:00,0.9439311
2022-12-25 10:00:00,1.0352415
2022-12-25 11:00:00,0.79330677
2022-12-25 12:00:00,0.36224797
2022-12-25 13:00:00,-0.16412869
2022-12-25 14:00:00,-0.724522
2022-12-25 15:00:00,-1.2288083
2022-12-25 16:00:00,-1.4516828
2022-12-25 17:00:00,-0.8745783
2022-12-25 18:00:00,-0.23791355
2022-12-25 19:00:00,0.38709265
2022-12-25 20:00:00,0.9003648
2022-12-25 21:00:00,1.3677202
2022-12-25 22:00:00,1.5997626
2022-12-25 23:00:00,1.4584544
2022-12-26 00:00:00,1.044664
2022-12-26 01:00:00,0.48304904
2022-12-26 02:00:00,-0.09703587
